3.1236,0,1.4355
3.0852,2.4271,1.0133
3.0852,3.6751,1.0766
3.0852,4.8258,1.0133
3.0852,5.7018,1.3251
3.0852,0.5814,1.3251
3.0852,1.4574,1.0133
3.0852,2.608,1.0766
3.0852,3.8561,1.0133
3.0475,1.6509,0.78299
3.0475,2.3767,0.95698
3.0475,3.1025,0.95698
3.0475,3.8247,0.90662
3.0475,4.5306,0.86129
3.0475,4.8796,0.90662
3.0475,5.1052,1.0133
3.0475,5.5814,0.95698
3.0475,0,1.566
3.0475,0.70179,0.95698
3.0475,1.178,1.0133
3.0475,1.4036,0.90662
3.0475,1.7525,0.86129
3.0475,2.4585,0.90662
3.0475,3.1807,0.95698
3.0475,3.9065,0.95698
3.0475,4.6323,0.78299
3.0105,1.821,0.82027
3.0105,2.3432,0.78299
3.0105,2.8654,0.86129
3.0105,3.3876,0.86129
3.0105,3.9045,0.78299
3.0105,4.4102,0.78299
3.0105,4.8727,0.78299
3.0105,5.0378,0.71774
3.0105,5.2499,0.78299
3.0105,5.5367,0.82027
3.0105,5.5929,0.86129
3.0105,6.0356,1.2304
3.0105,0.24754,1.2304
3.0105,0.69025,0.86129
3.0105,0.74646,0.82027
3.0105,1.0333,0.78299
3.0105,1.2454,0.71774
3.0105,1.4105,0.78299
3.0105,1.873,0.78299
3.0105,2.3787,0.78299
3.0105,2.8955,0.86129
3.0105,3.4178,0.86129
3.0105,3.94,0.78299
3.0105,4.4622,0.82027
2.974,1.8422,0.86129
2.974,2.2547,0.86129
2.974,2.6673,0.95698
2.974,3.0798,0.86129
2.974,3.4923,0.82027
2.974,3.8997,0.90662
2.974,4.2982,0.82027
2.974,4.6882,0.78299
2.974,4.7141,0.74894
2.974,5.023,0.82027
2.974,5.1148,0.71774
2.974,5.3079,0.78299
2.974,5.5042,0.74894
2.974,5.5727,0.78299
2.974,5.8937,1.0766
2.974,0,1.914
2.974,0.38947,1.0766
2.974,0.71044,0.78299
2.974,0.77894,0.74894
2.974,0.97525,0.78299
2.974,1.1684,0.71774
2.974,1.2601,0.82027
2.974,1.5691,0.74894
2.974,1.5949,0.78299
2.974,1.9849,0.82027
2.974,2.3835,0.90662
2.974,2.7909,0.82027
2.974,3.2034,0.86129
2.974,3.6159,0.95698
2.974,4.0285,0.86129
2.974,4.441,0.86129
2.9381,1.8507,0.86129
2.9381,2.1945,0.95698
2.9381,2.5383,0.95698
2.9381,2.8821,0.90662
2.9381,3.226,0.82027
2.9381,3.5698,0.82027
2.9381,3.9083,0.82027
2.9381,4.2395,0.86129
2.9381,4.5636,1.0133
2.9381,4.8295,0.74894
2.9381,4.8627,0.82027
2.9381,5.1241,0.68903
2.9381,5.1602,0.68903
2.9381,5.3526,0.74894
2.9381,5.4815,0.66253
2.9381,5.5707,0.78299
2.9381,5.8024,0.86129
2.9381,5.8255,0.86129
2.9381,6.1233,1.3251
2.9381,0.15993,1.3251
2.9381,0.45767,0.86129
2.9381,0.4808,0.86129
2.9381,0.71245,0.78299
2.9381,0.80166,0.66253
2.9381,0.93056,0.74894
2.9381,1.123,0.68903
2.9381,1.1591,0.68903
2.9381,1.4205,0.82027
2.9381,1.4537,0.74894
2.9381,1.7196,1.0133
2.9381,2.0437,0.86129
2.9381,2.3749,0.82027
2.9381,2.7134,0.82027
2.9381,3.0572,0.82027
2.9381,3.4011,0.90662
2.9381,3.7449,0.95698
2.9381,4.0887,0.95698
2.9381,4.4325,0.86129
2.9028,1.812,1.0133
2.9028,2.1087,1.0133
2.9028,2.4055,0.90662
2.9028,2.7023,0.86129
2.9028,2.999,0.82027
2.9028,3.2958,0.78299
2.9028,3.5926,0.90662
2.9028,3.8846,0.90662
2.9028,4.1703,1.0133
2.9028,4.4498,1.0766
2.9028,4.7224,1.0766
2.9028,4.9039,0.74894
2.9028,4.9652,0.86129
2.9028,5.1813,0.68903
2.9028,5.1868,0.68903
2.9028,5.3738,0.68903
2.9028,5.4617,0.6152
2.9028,5.5586,0.74894
2.9028,5.7355,0.71774
2.9028,5.7692,0.82027
